,meastype,gas,unit,sector_number,category,classification,source,target,type,subcategory,region,tdetail,mmsys,IPCC2006,Reference 2006,IPCC1997,Reference 1997,option,measure,variableUID,,,
606810,IEF,N2O,kg/head/year,3.B.2.4.8.5,Other Other Other Livestock,N2O and NMVOC Emissions,,,,,,,Pit storage below animal confinements,0.002,Table 10.21,0.005,Table 4.204,,Implied emission factor,9EA82080-2543-4678-BC2B-ADA23C3F1DB0,,,
606810,IEF,N2O,kg/head/year,3.B.2.4.8.5,Other Other Other Livestock,N2O and NMVOC Emissions,,,,,,,Anaerobic digester,0,Table 10.21,0.005,Table 4.205,,Implied emission factor,9EA82080-2543-4678-BC2B-ADA23C3F1DB0,,,
606810,IEF,N2O,kg/head/year,3.B.2.4.8.5,Other Other Other Livestock,N2O and NMVOC Emissions,,,,,,,Cattle and swine deep bedding with no mixing,0.01,Table 10.21,0.005,Table 4.206,,Implied emission factor,9EA82080-2543-4678-BC2B-ADA23C3F1DB0,,,
606810,IEF,N2O,kg/head/year,3.B.2.4.8.5,Other Other Other Livestock,N2O and NMVOC Emissions,,,,,,,Cattle and swine deep bedding with active mixing,0.07,Table 10.21,0.005,Table 4.207,,Implied emission factor,9EA82080-2543-4678-BC2B-ADA23C3F1DB0,,,
606810,IEF,N2O,kg/head/year,3.B.2.4.8.5,Other Other Other Livestock,N2O and NMVOC Emissions,,,,,,,Composting in -vessel or static pile,0.006,Table 10.21,0.005,Table 4.208,,Implied emission factor,9EA82080-2543-4678-BC2B-ADA23C3F1DB0,,,
606810,IEF,N2O,kg/head/year,3.B.2.4.8.5,Other Other Other Livestock,N2O and NMVOC Emissions,,,,,,,Composting intensive windrow,0.1,Table 10.21,0.005,Table 4.209,,Implied emission factor,9EA82080-2543-4678-BC2B-ADA23C3F1DB0,,,
606810,IEF,N2O,kg/head/year,3.B.2.4.8.5,Other Other Other Livestock,N2O and NMVOC Emissions,,,,,,,Composting passive windrow,0.01,Table 10.21,0.005,Table 4.210,,Implied emission factor,9EA82080-2543-4678-BC2B-ADA23C3F1DB0,,,
606810,IEF,N2O,kg/head/year,3.B.2.4.8.5,Other Other Other Livestock,N2O and NMVOC Emissions,,,,,,,Poultry manure with/without litter,0.001,Table 10.21,0.005,Table 4.211,,Implied emission factor,9EA82080-2543-4678-BC2B-ADA23C3F1DB0,,,
606810,IEF,N2O,kg/head/year,3.B.2.4.8.5,Other Other Other Livestock,N2O and NMVOC Emissions,,,,,,,Aerobic system with natural aeration systems,0.01,Table 10.21,0.005,Table 4.212,,Implied emission factor,9EA82080-2543-4678-BC2B-ADA23C3F1DB0,,,
606810,IEF,N2O,kg/head/year,3.B.2.4.8.5,Other Other Other Livestock,N2O and NMVOC Emissions,,,,,,,Aerobic system with forced aeration systems,0.005,Table 10.21,0.005,Table 4.213,,Implied emission factor,9EA82080-2543-4678-BC2B-ADA23C3F1DB0,,,
8587,IEF,N2O,kg N2O/kg N,3.B.2.5,Farming,Indirect N2O Emissions,,,,,,,,,,,,,Atmospheric deposition,47100CA3-9371-4944-B302-BD76A154B0F4,,,
86061,IEF,N2O,kg N2O/kg N,3.B.2.5,Farming,Indirect N2O Emissions,,,,,,,,,,,,,Nitrogen leaching and run-off,C548A926-2825-4F66-A6FE-DA55F429CB29,,,
8688,IEF,N2O,kg N2O/kg N handled,3.B.2.5 N2O Emissions per MMS,Farming,N2O Emissions per MMS,,,,,,,,,,,,,Implied emission factors,313DBB38-2B25-4938-9A73-9D2D4EDB9F33,,,
87341,IEF,N2O,kg N2O/kg N handled,3.B.2.5 N2O Emissions per MMS,Farming,N2O Emissions per MMS,Composting,,,,,,,,,,,,Implied emission factors,D4DFF831-E240-4D4B-9B56-56A35250DA46,,,
88011,IEF,N2O,kg N2O/kg N handled,3.B.2.5 N2O Emissions per MMS,Farming,N2O Emissions per MMS,Liquid system,,,,,,,,,,,,Implied emission factors,A283CD5B-0E86-4385-A581-B3E857DA8983,,,
88631,IEF,N2O,kg N2O/kg N handled,3.B.2.5 N2O Emissions per MMS,Farming,N2O Emissions per MMS,Other,,,,,,,,,,,,Implied emission factors,022FEB81-4131-4B13-ADDE-032172D4C138,,,
89201,IEF,N2O,kg N2O/kg N handled,3.B.2.5 N2O Emissions per MMS,Farming,N2O Emissions per MMS,Solid storage and dry lot,,,,,,,,,,,,Implied emission factors,B7F04EF4-87DF-4FB6-9A39-453B4D9035D1,,,
87421,IEF,N2O,kg N2O/kg N handled,3.B.2.5 N2O Emissions per MMS,Farming,N2O Emissions per MMS,Digesters,,,,,,,,,,,,Implied emission factors,FA7397DF-070B-4A84-A55B-4790DA1AB195,,,
90111,IEF,CH4,g/m^2,3.C.1.1,Farming,Continuously Flooded,,,,,,,,,,20,"Tables 4.12, 4.13",,Implied emission factor,49CE78D1-0031-4BF9-8E5A-01FC81C13EA1,,,
90292,IEF,CH4,g/m^2,3.C.1.2.1,Farming,Single Aeration,,,,,,,,,,10,"Tables 4.12, 4.13",,Implied emission factor,83759C15-19DD-4906-9A01-16079BE4126C,,,
90382,IEF,CH4,g/m^2,3.C.1.2.2,Farming,Multiple aeration,,,,,,,,,,4,"Tables 4.12, 4.13",,Implied emission factor,3A909086-B0EB-4A3F-9705-5BA5C291A6B7,,,
91902,IEF,N2O,kg N2O-N/kg N,3.D.1.1,Direct N2O Emissions From Managed Soils,Agricultural Soils,,,Inorganic N Fertilizers,,,,,0.01,Table 11.1,0.0125,Table 4.18,,Implied emission factor,65EF1540-7C6E-48BA-BAE3-62116C711685,,,
9286,IEF,N2O,kg N2O-N/kg N,3.D.1.2,Direct N2O Emissions From Managed Soils,Agricultural Soils,,,Organic N Fertilizers,,,,,0.01,Table 11.1,0.0125,Table 4.18,,Implied emission factor,724ADB0E-331E-46E1-9822-7BF6D6D814AD,,,
93562,IEF,N2O,kg N2O-N/kg N,3.D.1.2.a,Animal Manure Applied to Soils,Agricultural Soils,,,,,,,,0.01,Table 11.1,,,,Implied emission factor,19E9D824-0A82-4367-AB3F-F865BC4EA4BB,,,
9450,IEF,N2O,kg N2O-N/kg N,3.D.1.2.b,Sewage Sludge Applied to Soils,Agricultural Soils,,,,,,,,0.01,Table 11.1,0.01,Table 4.23,,Implied emission factor,F5B8E1BD-71C7-4281-A9BA-5A5392E1AF4C,,,
9481,IEF,N2O,kg N2O-N/kg N,3.D.1.2.c,Other Organic Fertilizers Applied to Soils,Agricultural Soils,,,,,,,,0.01,Table 11.1,,,,Implied emission factor,DCEBC35D-F993-41EE-AE32-FBBC2080D09B,,,
95391,IEF,N2O,kg N2O-N/kg N,3.D.1.3,Urine and Dung Deposited by Grazing Animals,Agricultural Soils,,,,,,,,0.02,Table 11.1,,,,Implied emission factor,84961D99-EAF9-4E27-A166-86ED68DF3CB6,,,
96181,IEF,N2O,kg N2O-N/kg N,3.D.1.4,Crop Residues,Agricultural Soils,,,,,,,,0.01,Table 11.1,,,,Implied emission factor,ADB502D1-9150-42BA-859B-0A97CDE20D02,,,
96521,IEF,N2O,kg N2O-N/kg N,3.D.1.5,Mineralization of Soil Organic Matter,Agricultural Soils,,,,,,,,8,Table 11.1,,,,Implied emission factor,0683A466-DDBB-466D-B6CC-123DF2221D91,,,
97801,IEF,N2O,kg N2O-N/kg N,3.D.2.1,Farming,Agricultural Soils,,Atmospheric Deposition,,,,,,0.01,Table 11.3,0.01,Table 4.23,,Implied emission factor,715E7E8A-2749-4736-B495-9C725C85ACB0,,,
98761,IEF,N2O,kg N2O-N/kg N,3.D.2.2,Farming,Agricultural Soils,,Nitrogen Leaching and Run-off,,,,,,0.0075,Table 11.3,0.025,Table 4.23,,Implied emission factor,B0EF4BA3-7D92-4DD8-956C-EC3F8A8DE2B0,,,
100461,IEF,CH4,kg/t dm,3.F.1,Cereals,Field Burning of Agricultural Residues,,,,,,,,2.7,Table 2.5,0.005,Table 4.16,,Implied emission factor,CE5F3BA2-BD97-46B9-807A-BC1CDEDDC31E,,,
100521,IEF,N2O,kg/t dm,3.F.1,Cereals,Field Burning of Agricultural Residues,,,,,,,,0.07,Table 2.5,0.007,Table 4.16,,Implied emission factor,6D1D69E9-4ED6-4848-859E-2E29F9DF1EF9,,,
10157,IEF,CH4,kg/t dm,3.F.1.1,Wheat,Field Burning of Agricultural Residues,,,,,,,,2.7,Table 2.5,0.005,Table 4.16,,Implied emission factor,24CA447D-291E-4E6D-A71E-47A9C06E835E,,,
101641,IEF,N2O,kg/t dm,3.F.1.1,Wheat,Field Burning of Agricultural Residues,,,,,,,,0.07,Table 2.5,0.007,Table 4.16,,Implied emission factor,92F49C43-2062-4086-ADB3-8A64DFA334AB,,,
102861,IEF,CH4,kg/t dm,3.F.1.2,Barley,Field Burning of Agricultural Residues,,,,,,,,2.7,Table 2.5,0.005,Table 4.16,,Implied emission factor,673CBC23-F27C-486C-B8A5-D8386F43003E,,,
102991,IEF,N2O,kg/t dm,3.F.1.2,Barley,Field Burning of Agricultural Residues,,,,,,,,0.07,Table 2.5,0.007,Table 4.16,,Implied emission factor,D00C206A-826E-450F-93C3-A76EDE6A2D8B,,,
103901,IEF,CH4,kg/t dm,3.F.1.3,Maize,Field Burning of Agricultural Residues,,,,,,,,2.7,Table 2.5,0.005,Table 4.16,,Implied emission factor,B11A126D-E465-48F8-A94C-4B5DACE220B6,,,
103971,IEF,N2O,kg/t dm,3.F.1.3,Maize,Field Burning of Agricultural Residues,,,,,,,,0.07,Table 2.5,0.007,Table 4.16,,Implied emission factor,35FC4B53-CA72-4328-A2AD-2F1EB736EAB5,,,
104641,IEF,CH4,kg/t dm,3.F.1.4,Other cereals,Field Burning of Agricultural Residues,,,,,,,,2.7,Table 2.5,0.005,Table 4.16,,Implied emission factor,11E96640-4E57-4DB6-9765-F15AE26CFEF8,,,
104771,IEF,N2O,kg/t dm,3.F.1.4,Other cereals,Field Burning of Agricultural Residues,,,,,,,,0.07,Table 2.5,0.007,Table 4.16,,Implied emission factor,EE3D8B59-D70A-4310-B3B7-9F23D093B1E0,,,
104921,IEF,CH4,kg/t dm,3.F.2,Pulses,Field Burning of Agricultural Residues,,,,,,,,2.7,Table 2.5,0.005,Table 4.16,,Implied emission factor,8145A845-BBF0-42D1-860C-05BAC42B434B,,,
104961,IEF,N2O,kg/t dm,3.F.2,Pulses,Field Burning of Agricultural Residues,,,,,,,,0.07,Table 2.5,0.007,Table 4.16,,Implied emission factor,1D89EE5B-FDAB-41F9-836A-F76C3E885A72,,,
105141,IEF,CH4,kg/t dm,3.F.2.1,Other Pulses,Field Burning of Agricultural Residues,,,,,,,,2.7,Table 2.5,0.005,Table 4.16,,Implied emission factor,1171CC7A-A2B4-46B1-A542-6FA3CEC95B95,,,
105201,IEF,N2O,kg/t dm,3.F.2.1,Other Pulses,Field Burning of Agricultural Residues,,,,,,,,0.07,Table 2.5,0.007,Table 4.16,,Implied emission factor,3B8649FB-10C0-4C00-936F-031BC431A8D0,,,
105361,IEF,CH4,kg/t dm,3.F.3,Tubers and Roots,Field Burning of Agricultural Residues,,,,,,,,2.7,Table 2.5,0.005,Table 4.16,,Implied emission factor,713E1FB2-422A-4D97-B5F3-F4FB519D5AB1,,,
10538,IEF,N2O,kg/t dm,3.F.3,Tubers and Roots,Field Burning of Agricultural Residues,,,,,,,,0.07,Table 2.5,0.007,Table 4.16,,Implied emission factor,D539AF98-3A03-4AD2-8695-5502C8857C08,,,
105591,IEF,CH4,kg/t dm,3.F.3.1,Other Tubers and Roots,Field Burning of Agricultural Residues,,,,,,,,2.7,Table 2.5,0.005,Table 4.16,,Implied emission factor,6F17ED14-A5B3-4788-9BED-B884AE06FCDB,,,
105631,IEF,N2O,kg/t dm,3.F.3.1,Other Tubers and Roots,Field Burning of Agricultural Residues,,,,,,,,0.07,Table 2.5,0.007,Table 4.16,,Implied emission factor,57B04F9A-D55C-49E7-9E37-0B214AC28044,,,
105731,IEF,CH4,kg/t dm,3.F.4,Sugar Cane,Field Burning of Agricultural Residues,,,,,,,,2.7,Table 2.5,0.005,Table 4.16,,Implied emission factor,E7905C2F-F3E7-467A-929F-0020356CC136,,,
105741,IEF,N2O,kg/t dm,3.F.4,Sugar Cane,Field Burning of Agricultural Residues,,,,,,,,0.07,Table 2.5,0.007,Table 4.16,,Implied emission factor,2AAE9632-5854-4450-9EE0-0596CD6B5C3A,,,
10612,IEF,CH4,kg/t dm,3.F.5,Other Agricultural residues,Field Burning of Agricultural Residues,,,,,,,,2.7,Table 2.5,0.005,Table 4.16,,Implied emission factor,9DF38B78-DDC5-4AAD-9814-D6B8DB2D8DBD,,,
106151,IEF,N2O,kg/t dm,3.F.5,Other Agricultural residues,Field Burning of Agricultural Residues,,,,,,,,0.07,Table 2.5,0.007,Table 4.16,,Implied emission factor,17394B18-EB04-446B-87FD-5257600EB104,,,
107031,IEF,CO2,t CO2-C/t,3.G.1,Farming,Limestone CaCO3,,,,,,,,0.12,Page 11.29,,,,Implied emission factor,96ECD6E7-7200-45BB-9811-E08034264CFC,,,
107461,IEF,CO2,t CO2-C/t,3.G.2,Farming,Dolomite CaMg(CO3)2,,,,,,,,0.13,Page 11.29,,,,Implied emission factor,2DC3AFE7-6B6A-402D-B27D-A21E53C088CC,,,
108121,IEF,CO2,t CO2-C/t,3.H,Farming,Urea Application,,,,,,,,0.2,Page 11.34,,,,Implied emission factor,7787C717-9F68-4C28-9EDF-26D20488DAA9,,,
10829,IEF,CO2,t CO2-C/t,3.i,Farming,Other Carbon-containing Fertilizers,,,,,,,,,,,,,Implied emission factor,452FF5D6-42C6-496A-903B-BF58AB54B494,,,
251710,MASS,no gas,kg,3.B.1.1,Bulls,CH4 Emissions,,,,,Western Europe,,,420,Table 10A.5,600,Table B.1,Option C,Typical animal mass (average),,,,
2523,MASS,no gas,kg,3.B.1.1,Bulls under 2 years,CH4 Emissions,,,,,Western Europe,,,420,Table 10A.5,400,Table B.1,Option C,Typical animal mass (average),,,,
25291,MASS,no gas,kg,3.B.1.1,Calves,CH4 Emissions,,,,,Western Europe,,,420,Table 10A.5,230,Table B.1,Option C,Typical animal mass (average),,,,
285511,MASS,no gas,kg,3.B.1.1,Cattle,CH4 Emissions,,,,,Western Europe,,,,,,,,Typical animal mass (average),,,,
285510,MASS,no gas,kg,3.B.1.1,Dairy Cattle,CH4 Emissions,,,,,Western Europe,,,600,Table 10A.4,550,Table B.1,,Typical animal mass (average),,,,
29094,MASS,no gas,kg,3.B.1.1,Dairy Cows,CH4 Emissions,,,,,Western Europe,,,600,Table 10A.4,550,Table B.1,Option C,Typical animal mass (average),,,,
295610,MASS,no gas,kg,3.B.1.1,Growing Cattle,CH4 Emissions,,,,,Western Europe,,,420,Table 10A.5,230,Table B.1,Option B,Typical animal mass (average),,,,
301910,MASS,no gas,kg,3.B.1.1,Mature Dairy Cattle,CH4 Emissions,,,,,Western Europe,,,600,Table 10A.4,550,Table B.1,Option B,Typical animal mass (average),,,,
326010,MASS,no gas,kg,3.B.1.1,Non-Dairy Cattle,CH4 Emissions,,,,,Western Europe,,,420,Table 10A.5,405,Table B.1,,Typical animal mass (average),,,,
332310,MASS,no gas,kg,3.B.1.1,Other Cattle.Dairy cattle,CH4 Emissions,,,,,Western Europe,,,600,Table 10A.4,550,Table B.1,Option C,Typical animal mass (average),,,,
333510,MASS,no gas,kg,3.B.1.1,Other Cattle.Non-dairy cattle,CH4 Emissions,,,,,Western Europe,,,420,Table 10A.5,405,Table B.1,Option C,Typical animal mass (average),,,,
3345,MASS,no gas,kg,3.B.1.1,Other cows,CH4 Emissions,,,,,Western Europe,,,420,Table 10A.5,405,Table B.1,Option C,Typical animal mass (average),,,,
3382,MASS,no gas,kg,3.B.1.1,Other Mature Cattle,CH4 Emissions,,,,,Western Europe,,,420,Table 10A.5,405,Table B.1,Option B,Typical animal mass (average),,,,
339810,MASS,no gas,kg,3.B.1.1,Suckler Cows,CH4 Emissions,,,,,Western Europe,,,600,Table 10A.4,550,Table B.1,Option C,Typical animal mass (average),,,,
3404,MASS,no gas,kg,3.B.1.1,Young Cattle,CH4 Emissions,,,,,Western Europe,,,420,Table 10A.5,230,Table B.1,Option C,Typical animal mass (average),,,,
251710,MASS,no gas,kg,3.B.1.1,Bulls,CH4 Emissions,,,,,Eastern Europe,,,391,Table 10A.5,600,Table B.1,Option C,Typical animal mass (average),,,,
2523,MASS,no gas,kg,3.B.1.1,Bulls under 2 years,CH4 Emissions,,,,,Eastern Europe,,,391,Table 10A.5,230,Table B.1,Option C,Typical animal mass (average),,,,
25291,MASS,no gas,kg,3.B.1.1,Calves,CH4 Emissions,,,,,Eastern Europe,,,391,Table 10A.5,230,Table B.1,Option C,Typical animal mass (average),,,,
285511,MASS,no gas,kg,3.B.1.1,Cattle,CH4 Emissions,,,,,Eastern Europe,,,,,,,,Typical animal mass (average),,,,
285510,MASS,no gas,kg,3.B.1.1,Dairy Cattle,CH4 Emissions,,,,,Eastern Europe,,,550,Table 10A.4,550,Table B.1,,Typical animal mass (average),,,,
29094,MASS,no gas,kg,3.B.1.1,Dairy Cows,CH4 Emissions,,,,,Eastern Europe,,,550,Table 10A.4,550,Table B.1,Option C,Typical animal mass (average),,,,
295610,MASS,no gas,kg,3.B.1.1,Growing Cattle,CH4 Emissions,,,,,Eastern Europe,,,391,Table 10A.5,230,Table B.1,Option B,Typical animal mass (average),,,,
301910,MASS,no gas,kg,3.B.1.1,Mature Dairy Cattle,CH4 Emissions,,,,,Eastern Europe,,,550,Table 10A.4,550,Table B.1,Option B,Typical animal mass (average),,,,
326010,MASS,no gas,kg,3.B.1.1,Non-Dairy Cattle,CH4 Emissions,,,,,Eastern Europe,,,391,Table 10A.5,391,Table B.1,,Typical animal mass (average),,,,
332310,MASS,no gas,kg,3.B.1.1,Other Cattle.Dairy cattle,CH4 Emissions,,,,,Eastern Europe,,,550,Table 10A.4,550,Table B.1,Option C,Typical animal mass (average),,,,
333510,MASS,no gas,kg,3.B.1.1,Other Cattle.Non-dairy cattle,CH4 Emissions,,,,,Eastern Europe,,,391,Table 10A.5,391,Table B.1,Option C,Typical animal mass (average),,,,
3345,MASS,no gas,kg,3.B.1.1,Other cows,CH4 Emissions,,,,,Eastern Europe,,,391,Table 10A.5,391,Table B.1,Option C,Typical animal mass (average),,,,
3382,MASS,no gas,kg,3.B.1.1,Other Mature Cattle,CH4 Emissions,,,,,Eastern Europe,,,,,,,Option B,Typical animal mass (average),,,,
339810,MASS,no gas,kg,3.B.1.1,Suckler Cows,CH4 Emissions,,,,,Eastern Europe,,,550,Table 10A.4,550,Table B.1,Option C,Typical animal mass (average),,,,
3404,MASS,no gas,kg,3.B.1.1,Young Cattle,CH4 Emissions,,,,,Eastern Europe,,,391,Table 10A.5,230,Table B.1,Option C,Typical animal mass (average),,,,
349910,MASS,no gas,kg,3.B.1.2,Animals for replacement,CH4 Emissions,,,,,,,,48.5,Table 10A.9,43,Table B.7,,Typical animal mass (average),0D100B87-FBE3-4FB8-910D-79CDA0E682C2,,,
350510,MASS,no gas,kg,3.B.1.2,Ewes lowland,CH4 Emissions,,,,,,,,48.5,Table 10A.9,43,Table B.7,,Typical animal mass (average),8AC0D363-1313-461D-B06A-1A457892725B,,,
351110,MASS,no gas,kg,3.B.1.2,Ewes upland,CH4 Emissions,,,,,,,,48.5,Table 10A.9,43,Table B.7,,Typical animal mass (average),0F7DACD4-6FCB-4839-936E-EAD1F6E47903,,,
351610,MASS,no gas,kg,3.B.1.2,Growing Lambs,CH4 Emissions,,,,,,,,48.5,Table 10A.9,43,Table B.7,,Typical animal mass (average),6D083625-556B-493D-B5F0-D9453F2DE925,,,
352210,MASS,no gas,kg,3.B.1.2,Lambs,CH4 Emissions,,,,,,,,48.5,Table 10A.9,43,Table B.7,,Typical animal mass (average),BEB641D3-C013-4CDD-B66B-2CD877DABACA,,,
352810,MASS,no gas,kg,3.B.1.2,Lambs Lowland,CH4 Emissions,,,,,,,,48.5,Table 10A.9,43,Table B.7,,Typical animal mass (average),AAD36EF1-03CF-4AC9-B6D5-59A0B1A40C2F,,,
353410,MASS,no gas,kg,3.B.1.2,Lambs Upland,CH4 Emissions,,,,,,,,48.5,Table 10A.9,43,Table B.7,,Typical animal mass (average),AB5FB634-A2A2-4BC3-AAEB-668F5048F58F,,,
354310,MASS,no gas,kg,3.B.1.2,Mature Ewes,CH4 Emissions,,,,,,,,48.5,Table 10A.9,43,Table B.7,,Typical animal mass (average),C89B8628-C013-43E7-B8FC-8A12A6B35C7B,,,
355410,MASS,no gas,kg,3.B.1.2,Other mature Sheep,CH4 Emissions,,,,,,,,48.5,Table 10A.9,43,Table B.7,,Typical animal mass (average),A27E303F-F0CC-47F3-87AB-3AF827F461C5,,,
356210,MASS,no gas,kg,3.B.1.2,Rams lowland,CH4 Emissions,,,,,,,,48.5,Table 10A.9,43,Table B.7,,Typical animal mass (average),AAA776F1-70C1-48EE-A495-1A6D91BBAE73,,,
3568,MASS,no gas,kg,3.B.1.2,Rams Upland,CH4 Emissions,,,,,,,,48.5,Table 10A.9,43,Table B.7,,Typical animal mass (average),8B3980A3-AA6B-47BE-9C01-D09986EC9697,,,
385711,MASS,no gas,kg,3.B.1.2,Sheep,CH4 Emissions,,,,,,,,48.5,Table 10A.9,43,Table B.7,,Typical animal mass (average),C4B3991E-2D23-4697-93F4-1D7480012CF3,,,
384610,MASS,no gas,kg,3.B.1.2,Sheep over 1yr Lowland,CH4 Emissions,,,,,,,,48.5,Table 10A.9,43,Table B.7,,Typical animal mass (average),5D70319A-65FB-4401-BB28-91AEA115664B,,,
3852,MASS,no gas,kg,3.B.1.2,Sheep over 1yr Upland,CH4 Emissions,,,,,,,,48.5,Table 10A.9,43,Table B.7,,Typical animal mass (average),9A6A8211-785F-4C63-99F3-2ADE5FE49525,,,
385710,MASS,no gas,kg,3.B.1.2,Sheep unspecified,CH4 Emissions,,,,,,,,48.5,Table 10A.9,43,Table B.7,,Typical animal mass (average),3AC47CFD-0368-4B5D-B936-C078FFCF5F21,,,
386210,MASS,no gas,kg,3.B.1.3,Boars,CH4 Emissions,,,,,Western Europe,,,198,Table 10A.8,82,Table B.2,,Typical animal mass (average),,,,
386810,MASS,no gas,kg,3.B.1.3,Breeding Pigs,CH4 Emissions,,,,,Western Europe,,,198,Table 10A.8,82,Table B.2,,Typical animal mass (average),,,,
387610,MASS,no gas,kg,3.B.1.3,Breeding swine,CH4 Emissions,,,,,Western Europe,,,198,Table 10A.8,82,Table B.2,,Typical animal mass (average),,,,
388610,MASS,no gas,kg,3.B.1.3,Fattening Pigs,CH4 Emissions,,,,,Western Europe,,,50,Table 10A.7,82,Table B.2,,Typical animal mass (average),,,,
3892,MASS,no gas,kg,3.B.1.3,Gilts in Pig,CH4 Emissions,,,,,Western Europe,,,50,Table 10A.7,82,Table B.2,,Typical animal mass (average),,,,
389810,MASS,no gas,kg,3.B.1.3,Gilts not yet Served,CH4 Emissions,,,,,Western Europe,,,50,Table 10A.7,82,Table B.2,,Typical animal mass (average),,,,
390710,MASS,no gas,kg,3.B.1.3,Market swine,CH4 Emissions,,,,,Western Europe,,,50,Table 10A.7,82,Table B.2,,Typical animal mass (average),,,,
391610,MASS,no gas,kg,3.B.1.3,Other Sows for Breeding,CH4 Emissions,,,,,Western Europe,,,198,Table 10A.8,82,Table B.2,,Typical animal mass (average),,,,
392110,MASS,no gas,kg,3.B.1.3,Piglets,CH4 Emissions,,,,,Western Europe,,,50,Table 10A.7,82,Table B.2,,Typical animal mass (average),,,,
392610,MASS,no gas,kg,3.B.1.3,Pigs over 20 kg,CH4 Emissions,,,,,Western Europe,,,50,Table 10A.7,82,Table B.2,,Typical animal mass (average),,,,
393210,MASS,no gas,kg,3.B.1.3,Pigs under 20 kg,CH4 Emissions,,,,,Western Europe,,,,,82,Table B.2,,Typical animal mass (average),,,,
393710,MASS,no gas,kg,3.B.1.3,Sows,CH4 Emissions,,,,,Western Europe,,,198,Table 10A.8,82,Table B.2,,Typical animal mass (average),,,,
394210,MASS,no gas,kg,3.B.1.3,Sows in Pig,CH4 Emissions,,,,,Western Europe,,,198,Table 10A.8,82,Table B.2,,Typical animal mass (average),,,,
42271,MASS,no gas,kg,3.B.1.3,Swine,CH4 Emissions,,,,,Western Europe,,,,,82,Table B.2,,Typical animal mass (average),,,,
42272,MASS,no gas,kg,3.B.1.3,Swine unspecified,CH4 Emissions,,,,,Western Europe,,,,,82,Table B.2,,Typical animal mass (average),,,,
386210,MASS,no gas,kg,3.B.1.3,Boars,CH4 Emissions,,,,,Eastern Europe,,,180,Table 10A.8,82,Table B.2,,Typical animal mass (average),,,,
386810,MASS,no gas,kg,3.B.1.3,Breeding Pigs,CH4 Emissions,,,,,Eastern Europe,,,180,Table 10A.8,82,Table B.2,,Typical animal mass (average),,,,
387610,MASS,no gas,kg,3.B.1.3,Breeding swine,CH4 Emissions,,,,,Eastern Europe,,,180,Table 10A.8,82,Table B.2,,Typical animal mass (average),,,,
388610,MASS,no gas,kg,3.B.1.3,Fattening Pigs,CH4 Emissions,,,,,Eastern Europe,,,50,Table 10A.7,82,Table B.2,,Typical animal mass (average),,,,
3892,MASS,no gas,kg,3.B.1.3,Gilts in Pig,CH4 Emissions,,,,,Eastern Europe,,,50,Table 10A.7,82,Table B.2,,Typical animal mass (average),,,,
389810,MASS,no gas,kg,3.B.1.3,Gilts not yet Served,CH4 Emissions,,,,,Eastern Europe,,,50,Table 10A.7,82,Table B.2,,Typical animal mass (average),,,,
390710,MASS,no gas,kg,3.B.1.3,Market swine,CH4 Emissions,,,,,Eastern Europe,,,50,Table 10A.7,82,Table B.2,,Typical animal mass (average),,,,
391610,MASS,no gas,kg,3.B.1.3,Other Sows for Breeding,CH4 Emissions,,,,,Eastern Europe,,,180,Table 10A.8,82,Table B.2,,Typical animal mass (average),,,,
392110,MASS,no gas,kg,3.B.1.3,Piglets,CH4 Emissions,,,,,Eastern Europe,,,50,Table 10A.7,82,Table B.2,,Typical animal mass (average),,,,
392610,MASS,no gas,kg,3.B.1.3,Pigs over 20 kg,CH4 Emissions,,,,,Eastern Europe,,,50,Table 10A.7,82,Table B.2,,Typical animal mass (average),,,,
393210,MASS,no gas,kg,3.B.1.3,Pigs under 20 kg,CH4 Emissions,,,,,Eastern Europe,,,,,82,Table B.2,,Typical animal mass (average),,,,
393710,MASS,no gas,kg,3.B.1.3,Sows,CH4 Emissions,,,,,Eastern Europe,,,180,Table 10A.8,82,Table B.2,,Typical animal mass (average),,,,
394210,MASS,no gas,kg,3.B.1.3,Sows in Pig,CH4 Emissions,,,,,Eastern Europe,,,180,Table 10A.8,82,Table B.2,,Typical animal mass (average),,,,
42271,MASS,no gas,kg,3.B.1.3,Swine,CH4 Emissions,,,,,Eastern Europe,,,,,82,Table B.2,,Typical animal mass (average),,,,
42272,MASS,no gas,kg,3.B.1.3,Swine unspecified,CH4 Emissions,,,,,Eastern Europe,,,,,82,Table B.2,,Typical animal mass (average),,,,
4355,MASS,no gas,kg,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,,,,380,Table 10A.6,380,Table B.5,,Typical animal mass (average),5E6D358F-CF5B-48F2-93A2-1FFDDC5E12A4,,,
4355,MASS,no gas,kg,3.B.1.4.1,Buffalo,CH4 Emissions,,,,Adult male,,,,,,450,Table B.2,,Typical animal mass (average),,,,
4355,MASS,no gas,kg,3.B.1.4.1,Buffalo,CH4 Emissions,,,,Adult female,,,,,,350,Table B.2,,Typical animal mass (average),,,,
4355,MASS,no gas,kg,3.B.1.4.1,Buffalo,CH4 Emissions,,,,Young,,,,,,200,Table B.2,,Typical animal mass (average),,,,
439210,MASS,no gas,kg,3.B.1.4.3,Deer,CH4 Emissions,,,,,,,,,,,,,Typical animal mass (average),53604497-142A-48BC-8147-C0EBE798CE49,,,
